"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/RS+Ibu+Dan+Anak+Melati+Husada/data=!4m7!3m6!1s0x2dd628274074cf25:0x8835efe5dc971c9f!8m2!3d-7.97619!4d112.62132!16s%2Fg%2F11f5f_sfnh!19sChIJJc90QCco1i0RnxyX3OXvNYg?authuser=0&hl=id&rclk=1","RS Ibu Dan Anak Melati Husada","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Niki+Kopitiam+Jl+Bondowoso/data=!4m7!3m6!1s0x2e7882822d7d2325:0x7140644c9b66a24a!8m2!3d-7.9680217!4d112.6170298!16s%2Fg%2F11z3044bh2!19sChIJJSN9LYKCeC4RSqJmm0xkQHE?authuser=0&hl=id&rclk=1","Niki Kopitiam Jl Bondowoso","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tlogomas+1/data=!4m7!3m6!1s0x2e78821095c9b733:0x6c887dfa3dc50e7b!8m2!3d-7.93355!4d112.60363!16s%2Fg%2F11yszfkw7c!19sChIJM7fJlRCCeC4Rew7FPfp9iGw?authuser=0&hl=id&rclk=1","Tlogomas 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Fakultas+Ilmu+Keolahragaan+UM/data=!4m7!3m6!1s0x2dd629d5760ed2b3:0x9c49e6ac01822293!8m2!3d-7.959583!4d112.620959!16s%2Fg%2F11hd8hcl9m!19sChIJs9IOdtUp1i0RkyKCAazmSZw?authuser=0&hl=id&rclk=1","Fakultas Ilmu Keolahragaan UM","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Halte+Semeru/data=!4m7!3m6!1s0x2dd62827d0e39797:0x171c6a1489a9fb47!8m2!3d-7.97261!4d112.622268!16s%2Fg%2F11gh1n1bj7!19sChIJl5fj0Cco1i0RR_upiRRqHBc?authuser=0&hl=id&rclk=1","Halte Semeru","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sob/data=!4m7!3m6!1s0x2dd6282b674a1c73:0xb9058206697ebb8c!8m2!3d-7.96317!4d112.62543!16s%2Fg%2F11sc1jp6d7!19sChIJcxxKZyso1i0RjLt-aQaCBbk?authuser=0&hl=id&rclk=1","Sob","Perhentian bus","","Rute"
"https://www.google.com/maps/place/BRI+Oro+Oro+Dowo/data=!4m7!3m6!1s0x2dd6282ca93f8bfd:0xd6492aa0be4b4335!8m2!3d-7.962181!4d112.626111!16s%2Fg%2F11gh1n1r8m!19sChIJ_Ys_qSwo1i0RNUNLvqAqSdY?authuser=0&hl=id&rclk=1","BRI Oro Oro Dowo","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Toko+Istiqomah/data=!4m7!3m6!1s0x2e7882834abfcf61:0xa9fd6d150df6c734!8m2!3d-7.972507!4d112.615311!16s%2Fg%2F11f5g13nx6!19sChIJYc-_SoOCeC4RNMf2DRVt_ak?authuser=0&hl=id&rclk=1","Toko Istiqomah","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Suzuki+Perdana+Malang/data=!4m7!3m6!1s0x2dd628331005674f:0xaaeee7770f6b03e4!8m2!3d-7.963113!4d112.635549!16s%2Fg%2F11hd8h8p52!19sChIJT2cFEDMo1i0R5ANrD3fn7qo?authuser=0&hl=id&rclk=1","Suzuki Perdana Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ijen+2/data=!4m7!3m6!1s0x2dd6282b78349dcd:0xc44060bc7620bc71!8m2!3d-7.96423!4d112.62515!16s%2Fg%2F11yszlw8fc!19sChIJzZ00eCso1i0RcbwgdrxgQMQ?authuser=0&hl=id&rclk=1","Ijen 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Auto+Bridal+45/data=!4m7!3m6!1s0x2e788283d92ff59f:0x6f7d303e9d439396!8m2!3d-7.967657!4d112.615814!16s%2Fg%2F11gh1ph1t4!19sChIJn_Uv2YOCeC4RlpNDnT4wfW8?authuser=0&hl=id&rclk=1","Auto Bridal 45","Perhentian bus","","Rute"
"https://www.google.com/maps/place/De+Liu+Resto/data=!4m7!3m6!1s0x2dd62827d251f30b:0xe9b211738db013a0!8m2!3d-7.972664!4d112.622617!16s%2Fg%2F11gh1n5f55!19sChIJC_NR0ico1i0RoBOwjXMRsuk?authuser=0&hl=id&rclk=1","De Liu Resto","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Eka+Sari+Lorena+Transport.+PT+-+Agen+Tumapel/data=!4m7!3m6!1s0x2dd62839504a1751:0x1942bb8cc602673b!8m2!3d-7.975859!4d112.6383906!16s%2Fg%2F11r969_2y!19sChIJURdKUDko1i0RO2cCxoy7Qhk?authuser=0&hl=id&rclk=1","Eka Sari Lorena Transport. PT - Agen Tumapel","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tomoro+Soekarno+Hatta/data=!4m7!3m6!1s0x2dd629e6568e99a7:0xf04cd55ca0764464!8m2!3d-7.9383343!4d112.6290204!16s%2Fg%2F11zjrrvh79!19sChIJp5mOVuYp1i0RZER2oFzVTPA?authuser=0&hl=id&rclk=1","Tomoro Soekarno Hatta","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tlogomas+2/data=!4m7!3m6!1s0x2e7882109427a99d:0x97c65f6118625414!8m2!3d-7.93348!4d112.60372!16s%2Fg%2F11ytrw7f3c!19sChIJnaknlBCCeC4RFFRiGGFfxpc?authuser=0&hl=id&rclk=1","Tlogomas 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Mie+Kalap/data=!4m7!3m6!1s0x2e78829d2ba15281:0xb2a62bf5f35ae955!8m2!3d-7.9726472!4d112.6170881!16s%2Fg%2F11f5g17xj5!19sChIJgVKhK52CeC4RVela8_UrprI?authuser=0&hl=id&rclk=1","Mie Kalap","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jaya+Giri+Outdoors+%26+Yaguard/data=!4m7!3m6!1s0x2dd62827631a7bed:0xd838c9c906a02f7c!8m2!3d-7.9756!4d112.620096!16s%2Fg%2F11hd8hcr7w!19sChIJ7XsaYyco1i0RfC-gBsnJONg?authuser=0&hl=id&rclk=1","Jaya Giri Outdoors & Yaguard","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Badan+Pendidikan+Dan+Pelatihan/data=!4m7!3m6!1s0x2dd6282740e8c115:0x7de246161bf73c5c!8m2!3d-7.97631!4d112.6212!16s%2Fg%2F11gh1n637f!19sChIJFcHoQCco1i0RXDz3GxZG4n0?authuser=0&hl=id&rclk=1","Badan Pendidikan Dan Pelatihan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Perum+Perhutani+KPH+Pasuruan/data=!4m7!3m6!1s0x2e78829ce422aa37:0xaecce9bd1b7984db!8m2!3d-7.97415!4d112.616419!16s%2Fg%2F11gh1pjc7c!19sChIJN6oi5JyCeC4R24R5G73pzK4?authuser=0&hl=id&rclk=1","Perum Perhutani KPH Pasuruan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Alfamart+Tlogomas+I/data=!4m7!3m6!1s0x2e78821bcef39213:0x1e1ae89e028024d3!8m2!3d-7.92962!4d112.603!16s%2Fg%2F11gh1pc1kv!19sChIJE5LzzhuCeC4R0ySAAp7oGh4?authuser=0&hl=id&rclk=1","Alfamart Tlogomas I","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Alun-alun+Malang+Bus+Station/data=!4m7!3m6!1s0x2dd6281803242b51:0xf7b5815dac79e9fe!8m2!3d-7.9824233!4d112.631573!16s%2Fg%2F11xvchfz6w!19sChIJUSskAxgo1i0R_ul5rF2Btfc?authuser=0&hl=id&rclk=1","Malang Alun-alun Malang Bus Station","Perhentian bus","","Rute"
